rowid,st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,dens,dens_err1,dens_err2,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,datalink_dvr
11,q1_q16_stellar,2165002,2MASS J19295274+3734040,292.469757,37.567791,15.391,5265,177,-141,PHO1,4.571,0.033,-0.155,KIC0,-0.1,0.32,-0.28,KIC0,0.781,0.205,-0.062,0.83,0.1,-0.08,2.453,0.416,-1.088,DSEP,2,2,2,11111111111111100,2013-12-03,0.8792,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,422.985,383.308,355.553,334.878,316.408,290.517,280.949,263.981,246.23,234.415,224.951,219.031,216.997,211.053,13.994,0.03,13.531,0.031,13.548,0.048,002/002165/002165002/dv/kplr002165002-20130815195353_dvr.pdf
12,q1_q12_stellar,2165002,2MASS J19295274+3734040,292.469757,37.567791,15.391,5244,82,-82,Pinsonneault,4.566,0.14,-0.14,Pinsonneault,-0.2,0,0,Pinsonneault,0.772,0.208,-0.208,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.994,0.03,13.531,0.031,13.548,0.048,002/002165/002165002/dv/kplr002165002-20121029204534_dvr.pdf
13,q1_q12_stellar,2302548,2MASS J19252754+3736330,291.364777,37.609169,13.562,5161,79,-79,Pinsonneault,3.879,0.075,-0.075,Pinsonneault,-0.2,0,0,Pinsonneault,1.848,0.282,-0.282,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.127,0.02,11.672,0.02,11.585,0.021,002/002302/002302548/dv/kplr002302548-20121029204534_dvr.pdf
14,q1_q17_dr24_stellar,2302548,2MASS J19252754+3736330,291.364777,37.609169,13.562,5099,106,-96,SPE58,4.563,0.024,-0.058,SPE58,0.04,0.16,-0.16,SPE58,0.786,0.058,-0.035,0.82,0.04,-0.05,2.387,0.2414,-0.4297,DSEP,2,2,2,11111111111111100,2015-01-15,0.8751,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,141.182,129.052,125.14,119.072,116.492,111.325,109.366,107.245,106.504,106.521,108.186,110.671,111.447,118.345,12.127,0.02,11.672,0.02,11.585,0.021,002/002302/002302548/dv/kplr002302548-20141002224145_dvr.pdf
15,q1_q16_stellar,2302548,2MASS J19252754+3736330,291.364777,37.609169,13.562,5203,102,-99,SPE3,4.595,0.011,-0.072,SPE3,0,0.18,-0.14,SPE3,0.774,0.07,-0.026,0.87,0.04,-0.06,2.626,0.1627,-0.5841,DSEP,2,2,2,11111111111111100,2013-12-03,0.8792,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,130.121,120.06,113.42,109.004,105.46,100.463,98.764,96.407,93.993,93.972,94.8,95.359,95.631,97.634,12.127,0.02,11.672,0.02,11.585,0.021,002/002302/002302548/dv/kplr002302548-20130815195353_dvr.pdf
16,q1_q16_stellar,2307415,2MASS J19294105+3740581,292.421082,37.682819,12.992,6129,88,-128,SPE12,4.38,0.06,-0.125,SPE12,-0.02,0.1,-0.16,SPE12,1.108,0.184,-0.088,1.07,0.06,-0.06,1.109,0.2749,-0.3932,DSEP,2,2,2,11111111111111100,2013-12-03,0.879,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,79.257,70.844,65.091,60.987,57.874,53.292,51.521,49.012,46.664,45.291,44.279,43.616,43.468,42.795,12,0.022,11.745,0.022,11.704,0.021,002/002307/002307415/dv/kplr002307415-20130815195353_dvr.pdf
17,q1_q12_stellar,2307415,2MASS J19294105+3740581,292.421082,37.682819,12.992,6317,76,-76,Pinsonneault,4.343,0.14,-0.14,Pinsonneault,-0.2,0,0,Pinsonneault,1.185,0.346,-0.346,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.022,11.745,0.022,11.704,0.021,002/002307/002307415/dv/kplr002307415-20121029204534_dvr.pdf
18,q1_q17_dr24_stellar,2307415,2MASS J19294105+3740581,292.421082,37.682819,12.992,6140,94,-135,SPE58,4.265,0.115,-0.149,SPE58,0,0.1,-0.1,SPE58,1.277,0.289,-0.181,1.09,0.11,-0.08,0.7405,0.3813,-0.3098,DSEP,2,2,2,11111111111111100,2015-01-15,0.8753,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,88.835,78.613,74.464,69.565,66.677,61.384,59.19,56.374,53.752,51.913,51.06,50.695,50.724,50.563,12,0.022,11.745,0.022,11.704,0.021,002/002307/002307415/dv/kplr002307415-20141002224145_dvr.pdf
19,q1_q17_dr24_stellar,2438264,2MASS J19211116+3744581,290.296509,37.749489,14.172,5096,106,-96,SPE58,4.554,0.027,-0.058,SPE58,0.08,0.16,-0.16,SPE58,0.797,0.059,-0.034,0.83,0.04,-0.04,2.306,0.2329,-0.418,DSEP,2,2,2,11111111111111100,2015-01-15,0.8753,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,188.364,171.781,165.33,154.743,148.633,136.885,132.356,125.604,117.884,111.673,107.945,104.815,104.001,99.525,12.735,0.022,12.255,0.017,12.155,0.023,002/002438/002438264/dv/kplr002438264-20141002224145_dvr.pdf
20,q1_q16_stellar,2438264,2MASS J19211116+3744581,290.296509,37.749489,14.172,5075,162,-131,PHO1,4.569,0.034,-0.098,KIC0,-0.02,0.3,-0.26,KIC0,0.769,0.125,-0.06,0.8,0.09,-0.07,2.477,0.4301,-0.7643,DSEP,2,2,2,11111111111111100,2013-12-03,0.8792,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,168.252,154.262,143.738,135.186,127.944,117.195,113.475,107.607,101.627,96.968,93.931,91.751,91.125,88.127,12.735,0.022,12.255,0.017,12.155,0.023,002/002438/002438264/dv/kplr002438264-20130815195353_dvr.pdf
21,q1_q12_stellar,2438264,2MASS J19211116+3744581,290.296509,37.749489,14.172,5031,74,-74,Pinsonneault,4.571,0.239,-0.239,Pinsonneault,-0.2,0,0,Pinsonneault,0.736,0.393,-0.393,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.735,0.022,12.255,0.017,12.155,0.023,002/002438/002438264/dv/kplr002438264-20121029204534_dvr.pdf
22,q1_q17_dr24_stellar,2571238,2MASS J19214099+3751064,290.420807,37.851799,11.898,5543,106,-109,SPE31,4.568,0.015,-0.122,SPE31,-0.14,0.16,-0.14,SPE31,0.813,0.122,-0.033,0.89,0.05,-0.07,2.337,0.1835,-0.7921,DSEP,2,1,1,11111111111111100,2015-01-15,0.875,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,47.469,42.519,40.425,37.727,36.087,33.333,32.139,30.509,28.8,27.489,26.64,25.851,25.689,24.861,10.719,0.02,10.375,0.016,10.318,0.019,002/002571/002571238/dv/kplr002571238-20141002224145_dvr.pdf
23,q1_q16_stellar,2571238,2MASS J19214099+3751064,290.420807,37.851799,11.898,5543,106,-109,SPE31,4.568,0.015,-0.122,SPE31,-0.14,0.16,-0.14,SPE31,0.813,0.121,-0.033,0.89,0.05,-0.07,2.337,0.1835,-0.7921,DSEP,2,1,1,11111111111111100,2013-12-03,0.8791,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,42.032,38.033,35.195,32.909,31.216,28.824,27.895,26.43,24.906,23.849,23.017,22.467,22.255,21.822,10.719,0.02,10.375,0.016,10.318,0.019,002/002571/002571238/dv/kplr002571238-20130815195353_dvr.pdf
24,q1_q12_stellar,2571238,2MASS J19214099+3751064,290.420807,37.851799,11.898,5623,57,-57,Pinsonneault,4.571,0.22,-0.22,Pinsonneault,-0.2,0,0,Pinsonneault,0.827,0.336,-0.336,,,,,,,,2,1,1,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.719,0.02,10.375,0.016,10.318,0.019,002/002571/002571238/dv/kplr002571238-20121029204534_dvr.pdf
25,q1_q17_dr24_stellar,2692377,2MASS J19023879+3757522,285.661652,37.9645,12.899,5533,102,-94,SPE61,4.337,0.116,-0.114,SPE61,0.18,0.12,-0.12,SPE61,1.089,0.169,-0.134,0.94,0.06,-0.04,1.026,0.4983,-0.3419,DSEP,1,1,3,11111111111111100,2015-01-15,0.8752,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,87.119,78.464,75.154,71.178,68.37,63.109,61.099,58.297,55.44,53.418,52.894,52.211,52.324,53.018,11.672,0.019,11.316,0.021,11.253,0.017,002/002692/002692377/dv/kplr002692377-20141002224145_dvr.pdf
26,q1_q16_stellar,2692377,2MASS J19023879+3757522,285.661652,37.9645,12.899,5580,101,-109,SPE3,4.538,0.017,-0.112,SPE3,0.14,0.12,-0.14,SPE3,0.886,0.117,-0.034,0.99,0.03,-0.07,2.003,0.1576,-0.6329,DSEP,1,1,1,11111111111111100,2013-12-03,0.8792,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,86.759,80.429,76.339,72.699,69.577,65.095,63.548,61.144,58.958,57.682,57.095,56.932,56.782,56.317,11.672,0.019,11.316,0.021,11.253,0.017,002/002692/002692377/dv/kplr002692377-20130815195353_dvr.pdf
27,q1_q12_stellar,2692377,2MASS J19023879+3757522,285.661652,37.9645,12.899,5711,94,-94,Pinsonneault,3.968,0.128,-0.128,Pinsonneault,-0.2,0,0,Pinsonneault,1.753,0.354,-0.354,,,,,,,,1,1,1,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.672,0.019,11.316,0.021,11.253,0.017,002/002692/002692377/dv/kplr002692377-20121029204534_dvr.pdf
28,q1_q16_stellar,2854698,2MASS J19274223+3800508,291.925964,38.014118,14.138,5523,166,-138,PHO1,4.566,0.026,-0.217,KIC0,-0.02,0.24,-0.28,KIC0,0.832,0.26,-0.063,0.93,0.07,-0.1,2.278,0.3308,-1.229,DSEP,2,2,2,11111111111111100,2013-12-03,0.8792,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,158.351,144.118,134.228,127.258,121.97,115.071,112.551,109.442,106.892,105.922,105.027,104.972,105.066,105.858,12.9,0.023,12.54,0.022,12.494,0.026,002/002854/002854698/dv/kplr002854698-20130815195353_dvr.pdf
29,q1_q17_dr24_stellar,2854698,2MASS J19274223+3800508,291.925964,38.014118,14.138,5251,112,-98,SPE58,4.494,0.062,-0.059,SPE58,0,0.16,-0.16,SPE58,0.849,0.073,-0.056,0.82,0.06,-0.04,1.887,0.4316,-0.3703,DSEP,2,2,2,11111111111111100,2015-01-15,0.8754,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,186.187,169.646,164.392,156.278,152.37,142.953,139.084,134.606,130.213,127.472,127.438,128.727,129.488,133.343,12.9,0.023,12.54,0.022,12.494,0.026,002/002854/002854698/dv/kplr002854698-20141002224145_dvr.pdf
